snapshot_date,axis,keyword,search_index
2025-11-01,emergentes,bactérias carnívoras,18
2025-11-01,saude-mental,burnout,49
2025-11-01,emergentes,dengue europa,29
2025-11-01,saude-mental,depressão,57
2025-11-01,alimentacao,dieta cetogénica,24
2025-11-01,alimentacao,dieta mediterrânica,74
2025-11-01,menopausa,fitoterapia menopausa,31
2025-11-01,emergentes,gripe aviária H5N1,56
2025-11-01,saude-mental,insónia,46
2025-11-01,alimentacao,intolerância ao glúten,49
2025-11-01,alimentacao,jejum intermitente,56
2025-11-01,menopausa,libido menopausa,22
2025-11-01,emergentes,long covid,39
2025-11-01,menopausa,menopausa masculina,18
2025-11-01,menopausa,menopausa precoce,37
2025-11-01,menopausa,menopausa sintomas,60
2025-11-01,emergentes,microplásticos sangue,25
2025-11-01,emergentes,mpox portugal,75
2025-11-01,alimentacao,obesidade infantil,40
2025-11-01,menopausa,osteoporose,42
2025-11-01,saude-mental,pânico,43
2025-11-01,menopausa,peso na menopausa,27
2025-11-01,emergentes,poluição e saúde,38
2025-11-01,saude-mental,PTSD,32
2025-11-01,emergentes,resistência antibióticos,49
2025-11-01,emergentes,sarampo surto,29
2025-11-01,menopausa,secura vaginal,30
2025-11-01,saude-mental,solidão,30
2025-11-01,menopausa,suores noturnos,26
2025-11-01,alimentacao,suplementos alimentares,33
2025-11-01,saude-mental,TDAH adulto,29
2025-11-01,menopausa,terapia hormonal,50
2025-11-01,saude-mental,terapia online,26
2025-11-01,alimentacao,ultraprocessados,27
2025-11-01,emergentes,vírus nipah,19
2025-12-01,alimentacao,açúcar e saúde,30
2025-12-01,alimentacao,alergias alimentares,29
2025-12-01,alimentacao,alimentação plant-based,36
2025-12-01,saude-mental,ansiedade,71
2025-12-01,saude-mental,automutilação,33
2025-12-01,emergentes,bactérias carnívoras,17
2025-12-01,saude-mental,burnout,54
2025-12-01,emergentes,dengue europa,35
2025-12-01,saude-mental,depressão,69
2025-12-01,alimentacao,dieta cetogénica,23
2025-12-01,alimentacao,dieta mediterrânica,69
2025-12-01,menopausa,fitoterapia menopausa,33
2025-12-01,emergentes,gripe aviária H5N1,54
2025-12-01,saude-mental,insónia,50
2025-12-01,alimentacao,intolerância ao glúten,51
2025-12-01,alimentacao,jejum intermitente,63
2025-12-01,menopausa,libido menopausa,24
2025-12-01,emergentes,long covid,43
2025-12-01,menopausa,menopausa masculina,21
2025-12-01,menopausa,menopausa precoce,38
2025-12-01,menopausa,menopausa sintomas,69
2025-12-01,emergentes,microplásticos sangue,26
2025-12-01,emergentes,mpox portugal,85
2025-12-01,alimentacao,obesidade infantil,42
2025-12-01,menopausa,osteoporose,48
2025-12-01,saude-mental,pânico,42
2025-12-01,menopausa,peso na menopausa,28
2025-12-01,emergentes,poluição e saúde,38
2025-12-01,saude-mental,PTSD,38
2025-12-01,emergentes,resistência antibióticos,50
2025-12-01,emergentes,sarampo surto,33
2025-12-01,menopausa,secura vaginal,28
2025-12-01,saude-mental,solidão,34
2025-12-01,menopausa,suores noturnos,27
2025-12-01,alimentacao,suplementos alimentares,42
2025-12-01,saude-mental,TDAH adulto,27
2025-12-01,menopausa,terapia hormonal,58
2025-12-01,saude-mental,terapia online,26
2025-12-01,alimentacao,ultraprocessados,27
2025-12-01,emergentes,vírus nipah,23
2026-01-01,alimentacao,açúcar e saúde,33
2026-01-01,alimentacao,alergias alimentares,35
2026-01-01,alimentacao,alimentação plant-based,35
2026-01-01,saude-mental,ansiedade,81
2026-01-01,saude-mental,automutilação,35
2026-01-01,emergentes,bactérias carnívoras,18
2026-01-01,saude-mental,burnout,58
2026-01-01,emergentes,dengue europa,36
2026-01-01,saude-mental,depressão,74
2026-01-01,alimentacao,dieta cetogénica,28
2026-01-01,alimentacao,dieta mediterrânica,78
2026-01-01,menopausa,fitoterapia menopausa,34
2026-01-01,emergentes,gripe aviária H5N1,62
2026-01-01,saude-mental,insónia,48
2026-01-01,alimentacao,intolerância ao glúten,53
2026-01-01,alimentacao,jejum intermitente,62
2026-01-01,menopausa,libido menopausa,24
2026-01-01,emergentes,long covid,46
2026-01-01,menopausa,menopausa masculina,19
2026-01-01,menopausa,menopausa precoce,41
2026-01-01,menopausa,menopausa sintomas,69
2026-01-01,emergentes,microplásticos sangue,26
2026-01-01,emergentes,mpox portugal,83
2026-01-01,alimentacao,obesidade infantil,40
2026-01-01,menopausa,osteoporose,48
2026-01-01,saude-mental,pânico,46
2026-01-01,menopausa,peso na menopausa,30
2026-01-01,emergentes,poluição e saúde,36
2026-01-01,saude-mental,PTSD,39
2026-01-01,emergentes,resistência antibióticos,47
2026-01-01,emergentes,sarampo surto,32
2026-01-01,menopausa,secura vaginal,31
2026-01-01,saude-mental,solidão,35
2026-01-01,menopausa,suores noturnos,31
2026-01-01,alimentacao,suplementos alimentares,41
2026-01-01,saude-mental,TDAH adulto,31
2026-01-01,menopausa,terapia hormonal,58
2026-01-01,saude-mental,terapia online,29
2026-01-01,alimentacao,ultraprocessados,28
2026-01-01,emergentes,vírus nipah,22
2026-02-01,alimentacao,açúcar e saúde,35
2026-02-01,alimentacao,alergias alimentares,33
2026-02-01,alimentacao,alimentação plant-based,40
2026-02-01,saude-mental,ansiedade,91
2026-02-01,saude-mental,automutilação,38
2026-02-01,emergentes,bactérias carnívoras,20
2026-02-01,saude-mental,burnout,65
2026-02-01,emergentes,dengue europa,36
2026-02-01,saude-mental,depressão,76
2026-02-01,alimentacao,dieta cetogénica,27
2026-02-01,alimentacao,dieta mediterrânica,79
2026-02-01,menopausa,fitoterapia menopausa,38
2026-02-01,emergentes,gripe aviária H5N1,63
2026-02-01,saude-mental,insónia,51
2026-02-01,alimentacao,intolerância ao glúten,58
2026-02-01,alimentacao,jejum intermitente,68
2026-02-01,menopausa,libido menopausa,28
2026-02-01,emergentes,long covid,46
2026-02-01,menopausa,menopausa masculina,22
2026-02-01,menopausa,menopausa precoce,40
2026-02-01,menopausa,menopausa sintomas,69
2026-02-01,emergentes,microplásticos sangue,30
2026-02-01,emergentes,mpox portugal,87
2026-02-01,alimentacao,obesidade infantil,45
2026-02-01,menopausa,osteoporose,50
2026-02-01,saude-mental,pânico,45
2026-02-01,menopausa,peso na menopausa,31
2026-02-01,emergentes,poluição e saúde,42
2026-02-01,saude-mental,PTSD,41
2026-02-01,emergentes,resistência antibióticos,51
2026-02-01,emergentes,sarampo surto,33
2026-02-01,menopausa,secura vaginal,34
2026-02-01,saude-mental,solidão,34
2026-02-01,menopausa,suores noturnos,30
2026-02-01,alimentacao,suplementos alimentares,42
2026-02-01,saude-mental,TDAH adulto,32
2026-02-01,menopausa,terapia hormonal,60
2026-02-01,saude-mental,terapia online,29
2026-02-01,alimentacao,ultraprocessados,31
2026-02-01,emergentes,vírus nipah,23
2026-03-01,alimentacao,açúcar e saúde,37
2026-03-01,alimentacao,alergias alimentares,35
2026-03-01,alimentacao,alimentação plant-based,40
2026-03-01,saude-mental,ansiedade,89
2026-03-01,saude-mental,automutilação,39
2026-03-01,emergentes,bactérias carnívoras,20
2026-03-01,saude-mental,burnout,65
2026-03-01,emergentes,dengue europa,38
2026-03-01,saude-mental,depressão,76
2026-03-01,alimentacao,dieta cetogénica,29
2026-03-01,alimentacao,dieta mediterrânica,82
2026-03-01,menopausa,fitoterapia menopausa,38
2026-03-01,emergentes,gripe aviária H5N1,67
2026-03-01,saude-mental,insónia,54
2026-03-01,alimentacao,intolerância ao glúten,58
2026-03-01,alimentacao,jejum intermitente,71
2026-03-01,menopausa,libido menopausa,28
2026-03-01,emergentes,long covid,49
2026-03-01,menopausa,menopausa masculina,22
2026-03-01,menopausa,menopausa precoce,43
2026-03-01,menopausa,menopausa sintomas,74
2026-03-01,emergentes,microplásticos sangue,30
2026-03-01,emergentes,mpox portugal,91
2026-03-01,alimentacao,obesidade infantil,47
2026-03-01,menopausa,osteoporose,51
2026-03-01,saude-mental,pânico,48
2026-03-01,menopausa,peso na menopausa,33
2026-03-01,emergentes,poluição e saúde,42
2026-03-01,saude-mental,PTSD,42
2026-03-01,emergentes,resistência antibióticos,55
2026-03-01,emergentes,sarampo surto,35
2026-03-01,menopausa,secura vaginal,35
2026-03-01,saude-mental,solidão,36
2026-03-01,menopausa,suores noturnos,31
2026-03-01,alimentacao,suplementos alimentares,44
2026-03-01,saude-mental,TDAH adulto,33
2026-03-01,menopausa,terapia hormonal,62
2026-03-01,saude-mental,terapia online,30
2026-03-01,alimentacao,ultraprocessados,32
2026-03-01,emergentes,vírus nipah,25
2026-03-08,alimentacao,açúcar e saúde,42
2026-03-08,alimentacao,alergias alimentares,30
2026-03-08,alimentacao,alimentação plant-based,43
2026-03-08,saude-mental,ansiedade,87
2026-03-08,saude-mental,automutilação,41
2026-03-08,emergentes,bactérias carnívoras,20
2026-03-08,saude-mental,burnout,57
2026-03-08,emergentes,dengue europa,43
2026-03-08,saude-mental,depressão,78
2026-03-08,alimentacao,dieta cetogénica,32
2026-03-08,alimentacao,dieta mediterrânica,83
2026-03-08,menopausa,fitoterapia menopausa,39
2026-03-08,emergentes,gripe aviária H5N1,66
2026-03-08,saude-mental,insónia,61
2026-03-08,alimentacao,intolerância ao glúten,65
2026-03-08,alimentacao,jejum intermitente,61
2026-03-08,menopausa,libido menopausa,24
2026-03-08,emergentes,long covid,56
2026-03-08,menopausa,menopausa masculina,24
2026-03-08,menopausa,menopausa precoce,47
2026-03-08,menopausa,menopausa sintomas,73
2026-03-08,emergentes,microplásticos sangue,28
2026-03-08,emergentes,mpox portugal,87
2026-03-08,alimentacao,obesidade infantil,51
2026-03-08,menopausa,osteoporose,56
2026-03-08,saude-mental,pânico,49
2026-03-08,menopausa,peso na menopausa,30
2026-03-08,emergentes,poluição e saúde,48
2026-03-08,saude-mental,PTSD,42
2026-03-08,emergentes,resistência antibióticos,49
2026-03-08,emergentes,sarampo surto,33
2026-03-08,menopausa,secura vaginal,34
2026-03-08,saude-mental,solidão,37
2026-03-08,menopausa,suores noturnos,27
2026-03-08,alimentacao,suplementos alimentares,49
2026-03-08,saude-mental,TDAH adulto,37
2026-03-08,menopausa,terapia hormonal,54
2026-03-08,saude-mental,terapia online,32
2026-03-08,alimentacao,ultraprocessados,32
2026-03-08,emergentes,vírus nipah,22
2026-03-09,alimentacao,açúcar e saúde,42
2026-03-09,alimentacao,alergias alimentares,28
2026-03-09,alimentacao,alimentação plant-based,41
2026-03-09,saude-mental,ansiedade,95
2026-03-09,saude-mental,automutilação,44
2026-03-09,emergentes,bactérias carnívoras,20
2026-03-09,saude-mental,burnout,57
2026-03-09,emergentes,dengue europa,48
2026-03-09,saude-mental,depressão,68
2026-03-09,alimentacao,dieta cetogénica,31
2026-03-09,alimentacao,dieta mediterrânica,71
2026-03-09,menopausa,fitoterapia menopausa,36
2026-03-09,emergentes,gripe aviária H5N1,70
2026-03-09,saude-mental,insónia,59
2026-03-09,alimentacao,intolerância ao glúten,62
2026-03-09,alimentacao,jejum intermitente,62
2026-03-09,menopausa,libido menopausa,27
2026-03-09,emergentes,long covid,56
2026-03-09,menopausa,menopausa masculina,27
2026-03-09,menopausa,menopausa precoce,47
2026-03-09,menopausa,menopausa sintomas,69
2026-03-09,emergentes,microplásticos sangue,28
2026-03-09,emergentes,mpox portugal,86
2026-03-09,alimentacao,obesidade infantil,55
2026-03-09,menopausa,osteoporose,48
2026-03-09,saude-mental,pânico,43
2026-03-09,menopausa,peso na menopausa,29
2026-03-09,emergentes,poluição e saúde,53
2026-03-09,saude-mental,PTSD,37
2026-03-09,emergentes,resistência antibióticos,46
2026-03-09,emergentes,sarampo surto,29
2026-03-09,menopausa,secura vaginal,31
2026-03-09,saude-mental,solidão,32
2026-03-09,menopausa,suores noturnos,30
2026-03-09,alimentacao,suplementos alimentares,51
2026-03-09,saude-mental,TDAH adulto,35
2026-03-09,menopausa,terapia hormonal,60
2026-03-09,saude-mental,terapia online,29
2026-03-09,alimentacao,ultraprocessados,33
2026-03-09,emergentes,vírus nipah,20
2026-03-10,alimentacao,açúcar e saúde,42
2026-03-10,alimentacao,alergias alimentares,31
2026-03-10,alimentacao,alimentação plant-based,46
2026-03-10,saude-mental,ansiedade,101
2026-03-10,saude-mental,automutilação,40
2026-03-10,emergentes,bactérias carnívoras,21
2026-03-10,saude-mental,burnout,49
2026-03-10,emergentes,dengue europa,42
2026-03-10,saude-mental,depressão,61
2026-03-10,alimentacao,dieta cetogénica,34
2026-03-10,alimentacao,dieta mediterrânica,63
2026-03-10,menopausa,fitoterapia menopausa,35
2026-03-10,emergentes,gripe aviária H5N1,62
2026-03-10,saude-mental,insónia,52
2026-03-10,alimentacao,intolerância ao glúten,67
2026-03-10,alimentacao,jejum intermitente,67
2026-03-10,menopausa,libido menopausa,30
2026-03-10,emergentes,long covid,60
2026-03-10,menopausa,menopausa masculina,25
2026-03-10,menopausa,menopausa precoce,50
2026-03-10,menopausa,menopausa sintomas,62
2026-03-10,emergentes,microplásticos sangue,25
2026-03-10,emergentes,mpox portugal,96
2026-03-10,alimentacao,obesidade infantil,57
2026-03-10,menopausa,osteoporose,44
2026-03-10,saude-mental,pânico,42
2026-03-10,menopausa,peso na menopausa,27
2026-03-10,emergentes,poluição e saúde,48
2026-03-10,saude-mental,PTSD,37
2026-03-10,emergentes,resistência antibióticos,45
2026-03-10,emergentes,sarampo surto,33
2026-03-10,menopausa,secura vaginal,30
2026-03-10,saude-mental,solidão,35
2026-03-10,menopausa,suores noturnos,27
2026-03-10,alimentacao,suplementos alimentares,54
2026-03-10,saude-mental,TDAH adulto,30
2026-03-10,menopausa,terapia hormonal,62
2026-03-10,saude-mental,terapia online,32
2026-03-10,alimentacao,ultraprocessados,34
2026-03-10,emergentes,vírus nipah,22
2026-03-11,alimentacao,açúcar e saúde,37
2026-03-11,saude-mental,alcoolismo,1
2026-03-11,alimentacao,alergias alimentares,34
2026-03-11,alimentacao,alimentação plant-based,40
2026-03-11,saude-mental,alzheimer,1
2026-03-11,alimentacao,anemia,1
2026-03-11,saude-mental,anorexia nervosa,1
2026-03-11,saude-mental,ansiedade,100
2026-03-11,saude-mental,automutilação,39
2026-03-11,emergentes,avc,1
2026-03-11,emergentes,bactérias carnívoras,22
2026-03-11,saude-mental,burnout,44
2026-03-11,emergentes,calor extremo e saúde,1
2026-03-11,menopausa,cancro da mama,1
2026-03-11,emergentes,candida auris,1
2026-03-11,menopausa,candidíase,1
2026-03-11,alimentacao,colesterol alto,1
2026-03-11,saude-mental,demência,1
2026-03-11,emergentes,dengue europa,38
2026-03-11,saude-mental,dependências,1
2026-03-11,saude-mental,depressão,64
2026-03-11,alimentacao,diabetes tipo 2,1
2026-03-11,alimentacao,dieta cetogénica,31
2026-03-11,alimentacao,dieta mediterrânica,56
2026-03-11,alimentacao,doença celíaca,1
2026-03-11,emergentes,doenças cardiovasculares,1
2026-03-11,menopausa,doenças da tiroide,1
2026-03-11,menopausa,endometriose,1
2026-03-11,saude-mental,enxaqueca,1
2026-03-11,menopausa,fitoterapia menopausa,33
2026-03-11,saude-mental,fobia social,1
2026-03-11,emergentes,gripe aviária H5N1,63
2026-03-11,menopausa,incontinência urinária,1
2026-03-11,saude-mental,insónia,44
2026-03-11,alimentacao,intolerância à lactose,1
2026-03-11,alimentacao,intolerância ao glúten,64
2026-03-11,alimentacao,jejum intermitente,60
2026-03-11,menopausa,libido menopausa,31
2026-03-11,emergentes,long covid,57
2026-03-11,emergentes,lúpus,1
2026-03-11,menopausa,menopausa masculina,23
2026-03-11,menopausa,menopausa precoce,57
2026-03-11,menopausa,menopausa sintomas,70
2026-03-11,emergentes,microplásticos sangue,25
2026-03-11,emergentes,mpox portugal,108
2026-03-11,alimentacao,obesidade infantil,58
2026-03-11,menopausa,osteoporose,40
2026-03-11,saude-mental,pânico,45
2026-03-11,saude-mental,perturbação bipolar,1
2026-03-11,saude-mental,perturbação obsessivo-compulsiva,1
2026-03-11,saude-mental,perturbações do espectro do autismo,1
2026-03-11,menopausa,peso na menopausa,29
2026-03-11,emergentes,poluição e saúde,43
2026-03-11,alimentacao,pré-diabetes,1
2026-03-11,saude-mental,PTSD,42
2026-03-11,alimentacao,refluxo gastroesofágico,1
2026-03-11,emergentes,resistência antibióticos,47
2026-03-11,emergentes,sarampo surto,30
2026-03-11,saude-mental,saúde mental no trabalho,1
2026-03-11,menopausa,secura vaginal,28
2026-03-11,emergentes,sepsis,1
2026-03-11,alimentacao,síndrome de intestino irritável,1
2026-03-11,menopausa,síndrome do ovário poliquístico,1
2026-03-11,saude-mental,solidão,37
2026-03-11,saude-mental,stress,1
2026-03-11,saude-mental,suicídio,1
2026-03-11,menopausa,suores noturnos,23
2026-03-11,alimentacao,suplementos alimentares,51
2026-03-11,saude-mental,TDAH adulto,32
2026-03-11,menopausa,terapia hormonal,54
2026-03-11,saude-mental,terapia online,33
2026-03-11,alimentacao,ultraprocessados,38
2026-03-11,emergentes,vírus nipah,22
2026-03-12,alimentacao,açúcar e saúde,40
2026-03-12,saude-mental,alcoolismo,1
2026-03-12,alimentacao,alergias alimentares,33
2026-03-12,alimentacao,alimentação plant-based,44
2026-03-12,saude-mental,alzheimer,1
2026-03-12,alimentacao,anemia,1
2026-03-12,saude-mental,anorexia nervosa,1
2026-03-12,saude-mental,ansiedade,102
2026-03-12,saude-mental,automutilação,42
2026-03-12,emergentes,avc,1
2026-03-12,emergentes,bactérias carnívoras,21
2026-03-12,saude-mental,burnout,47
2026-03-12,emergentes,calor extremo e saúde,1
2026-03-12,menopausa,cancro da mama,1
2026-03-12,emergentes,candida auris,1
2026-03-12,menopausa,candidíase,1
2026-03-12,alimentacao,colesterol alto,1
2026-03-12,saude-mental,demência,1
2026-03-12,emergentes,dengue europa,41
2026-03-12,saude-mental,dependências,1
2026-03-12,saude-mental,depressão,56
2026-03-12,alimentacao,diabetes tipo 2,1
2026-03-12,alimentacao,dieta cetogénica,28
2026-03-12,alimentacao,dieta mediterrânica,64
2026-03-12,alimentacao,doença celíaca,1
2026-03-12,emergentes,doenças cardiovasculares,1
2026-03-12,menopausa,doenças da tiroide,1
2026-03-12,menopausa,endometriose,1
2026-03-12,saude-mental,enxaqueca,1
2026-03-12,menopausa,fitoterapia menopausa,33
2026-03-12,saude-mental,fobia social,1
2026-03-12,emergentes,gripe aviária H5N1,70
2026-03-12,menopausa,incontinência urinária,1
2026-03-12,saude-mental,insónia,47
2026-03-12,alimentacao,intolerância à lactose,1
2026-03-12,alimentacao,intolerância ao glúten,63
2026-03-12,alimentacao,jejum intermitente,65
2026-03-12,menopausa,libido menopausa,28
2026-03-12,emergentes,long covid,59
2026-03-12,emergentes,lúpus,1
2026-03-12,menopausa,menopausa masculina,23
2026-03-12,menopausa,menopausa precoce,56
2026-03-12,menopausa,menopausa sintomas,65
2026-03-12,emergentes,microplásticos sangue,28
2026-03-12,emergentes,mpox portugal,121
2026-03-12,alimentacao,obesidade infantil,55
2026-03-12,menopausa,osteoporose,35
2026-03-12,saude-mental,pânico,51
2026-03-12,saude-mental,perturbação bipolar,1
2026-03-12,saude-mental,perturbação obsessivo-compulsiva,1
2026-03-12,saude-mental,perturbações do espectro do autismo,1
2026-03-12,menopausa,peso na menopausa,31
2026-03-12,emergentes,poluição e saúde,41
2026-03-12,alimentacao,pré-diabetes,1
2026-03-12,saude-mental,PTSD,38
2026-03-12,alimentacao,refluxo gastroesofágico,1
2026-03-12,emergentes,resistência antibióticos,42
2026-03-12,emergentes,sarampo surto,26
2026-03-12,saude-mental,saúde mental no trabalho,1
2026-03-12,menopausa,secura vaginal,32
2026-03-12,emergentes,sepsis,1
2026-03-12,alimentacao,síndrome de intestino irritável,1
2026-03-12,menopausa,síndrome do ovário poliquístico,1
2026-03-12,saude-mental,solidão,42
2026-03-12,saude-mental,stress,1
2026-03-12,saude-mental,suicídio,1
2026-03-12,menopausa,suores noturnos,26
2026-03-12,alimentacao,suplementos alimentares,58
2026-03-12,saude-mental,TDAH adulto,31
2026-03-12,menopausa,terapia hormonal,53
2026-03-12,saude-mental,terapia online,36
2026-03-12,alimentacao,ultraprocessados,44
2026-03-12,emergentes,vírus nipah,25
2026-03-16,alimentacao,açúcar e saúde,38
2026-03-16,saude-mental,alcoolismo,40
2026-03-16,alimentacao,alergias alimentares,2
2026-03-16,alimentacao,alimentação plant-based,41
2026-03-16,saude-mental,alzheimer,32
2026-03-16,alimentacao,anemia,53
2026-03-16,saude-mental,anorexia nervosa,29
2026-03-16,saude-mental,ansiedade,62
2026-03-16,saude-mental,automutilação,1
2026-03-16,emergentes,avc,7
2026-03-16,emergentes,bactérias carnívoras,18
2026-03-16,saude-mental,burnout,38
2026-03-16,emergentes,calor extremo e saúde,1
2026-03-16,menopausa,cancro da mama,44
2026-03-16,emergentes,candida auris,1
2026-03-16,menopausa,candidíase,25
2026-03-16,alimentacao,colesterol alto,35
2026-03-16,saude-mental,demência,39
2026-03-16,emergentes,dengue europa,47
2026-03-16,saude-mental,dependências,1
2026-03-16,saude-mental,depressão,7
2026-03-16,alimentacao,diabetes tipo 2,91
2026-03-16,alimentacao,dieta cetogénica,1
2026-03-16,alimentacao,dieta mediterrânica,38
2026-03-16,alimentacao,doença celíaca,45
2026-03-16,emergentes,doenças cardiovasculares,21
2026-03-16,menopausa,doenças da tiroide,1
2026-03-16,menopausa,endometriose,44
2026-03-16,saude-mental,enxaqueca,46
2026-03-16,menopausa,fitoterapia menopausa,30
2026-03-16,saude-mental,fobia social,27
2026-03-16,emergentes,gripe aviária H5N1,75
2026-03-16,menopausa,incontinência urinária,73
2026-03-16,saude-mental,insónia,40
2026-03-16,alimentacao,intolerância à lactose,1
2026-03-16,alimentacao,intolerância ao glúten,1
2026-03-16,alimentacao,jejum intermitente,23
2026-03-16,menopausa,libido menopausa,26
2026-03-16,emergentes,long covid,53
2026-03-16,emergentes,lúpus,10
2026-03-16,menopausa,menopausa masculina,22
2026-03-16,menopausa,menopausa precoce,1
2026-03-16,menopausa,menopausa sintomas,13
2026-03-16,emergentes,microplásticos sangue,1
2026-03-16,emergentes,mpox portugal,114
2026-03-16,alimentacao,obesidade infantil,1
2026-03-16,menopausa,osteoporose,41
2026-03-16,saude-mental,pânico,34
2026-03-16,saude-mental,perturbação bipolar,1
2026-03-16,saude-mental,perturbação obsessivo-compulsiva,1
2026-03-16,saude-mental,perturbações do espectro do autismo,1
2026-03-16,menopausa,peso na menopausa,26
2026-03-16,emergentes,poluição e saúde,41
2026-03-16,alimentacao,pré-diabetes,1
2026-03-16,saude-mental,PTSD,15
2026-03-16,alimentacao,refluxo gastroesofágico,9
2026-03-16,emergentes,resistência antibióticos,45
2026-03-16,emergentes,sarampo surto,30
2026-03-16,saude-mental,saúde mental no trabalho,1
2026-03-16,menopausa,secura vaginal,5
2026-03-16,emergentes,sepsis,21
2026-03-16,alimentacao,síndrome de intestino irritável,1
2026-03-16,menopausa,síndrome do ovário poliquístico,1
2026-03-16,saude-mental,solidão,25
2026-03-16,saude-mental,stress,1
2026-03-16,saude-mental,suicídio,19
2026-03-16,menopausa,suores noturnos,1
2026-03-16,alimentacao,suplementos alimentares,74
2026-03-16,saude-mental,TDAH adulto,1
2026-03-16,menopausa,terapia hormonal,30
2026-03-16,saude-mental,terapia online,44
2026-03-16,alimentacao,ultraprocessados,46
2026-03-16,emergentes,vírus nipah,1
2026-03-17,alimentacao,açúcar e saúde,33
2026-03-17,alimentacao,açúcar e saúde,38
2026-03-17,saude-mental,alcoolismo,9
2026-03-17,saude-mental,alcoolismo,39
2026-03-17,alimentacao,alergias alimentares,1
2026-03-17,alimentacao,alergias alimentares,2
2026-03-17,alimentacao,alimentação plant-based,43
2026-03-17,alimentacao,alimentação plant-based,45
2026-03-17,saude-mental,alzheimer,27
2026-03-17,saude-mental,alzheimer,38
2026-03-17,alimentacao,anemia,49
2026-03-17,alimentacao,anemia,64
2026-03-17,saude-mental,anorexia nervosa,18
2026-03-17,saude-mental,anorexia nervosa,28
2026-03-17,saude-mental,ansiedade,57
2026-03-17,saude-mental,ansiedade,76
2026-03-17,saude-mental,automutilação,1
2026-03-17,saude-mental,automutilação,1
2026-03-17,emergentes,avc,6
2026-03-17,emergentes,avc,8
2026-03-17,emergentes,bactérias carnívoras,17
2026-03-17,saude-mental,burnout,34
2026-03-17,saude-mental,burnout,39
2026-03-17,emergentes,calor extremo e saúde,1
2026-03-17,emergentes,calor extremo e saúde,1
2026-03-17,menopausa,cancro da mama,32
2026-03-17,menopausa,cancro da mama,42
2026-03-17,emergentes,candida auris,1
2026-03-17,emergentes,candida auris,1
2026-03-17,menopausa,candidíase,15
2026-03-17,menopausa,candidíase,25
2026-03-17,alimentacao,colesterol alto,39
2026-03-17,alimentacao,colesterol alto,40
2026-03-17,saude-mental,demência,30
2026-03-17,saude-mental,demência,42
2026-03-17,emergentes,dengue europa,46
2026-03-17,emergentes,dengue europa,48
2026-03-17,saude-mental,dependências,1
2026-03-17,saude-mental,dependências,1
2026-03-17,saude-mental,depressão,7
2026-03-17,saude-mental,depressão,8
2026-03-17,alimentacao,diabetes tipo 2,89
2026-03-17,alimentacao,diabetes tipo 2,96
2026-03-17,alimentacao,dieta cetogénica,1
2026-03-17,alimentacao,dieta cetogénica,1
2026-03-17,alimentacao,dieta mediterrânica,6
2026-03-17,alimentacao,dieta mediterrânica,41
2026-03-17,alimentacao,doença celíaca,3
2026-03-17,alimentacao,doença celíaca,49
2026-03-17,emergentes,doenças cardiovasculares,20
2026-03-17,emergentes,doenças cardiovasculares,45
2026-03-17,menopausa,doenças da tiroide,1
2026-03-17,menopausa,doenças da tiroide,1
2026-03-17,menopausa,endometriose,39
2026-03-17,menopausa,endometriose,45
2026-03-17,saude-mental,enxaqueca,38
2026-03-17,saude-mental,enxaqueca,42
2026-03-17,menopausa,fitoterapia menopausa,1
