n,id,titulo_limpo,outlet,source_type,related_term,data,1a_PASSAGEM_S_N_D,ROTULO_CORRECTO_S_N,PERTENCE_AO_CORPUS_S_N,NOTAS
20.0,ac0b52d7-56aa-497c-8997-baa6de4501dc,Perguntar para uma amiga,Público,media,avc,2026-03-30,D,N,S,Não faço ideia a que se refere a noticia MAS SUSPEito que tem a ver com problemas em contar algo. Poderá estar relacionado com sexualidade feminina ou gravidez?
21.0,f7efda1b-215c-4a1c-a3a9-b57ec4aa4242,Young Talents Contest 2027: Oportunidade Internacional para Internos,SP Medicina Interna,institucional,candidíase,2026-09-12,S,N,S,"O related term em nada tem a ver com a noticia  ||  [15/09, dito na sessão] Parece um contest de criativos e não de candidíase — é N. | VIDA INSTITUCIONAL"
22.0,aedd57a7-71e5-4118-ad40-8f289584ace9,CathStart -Curso de Simulação em Coronariografia Diagnóstica,Sociedade Portuguesa de Cardiologia,institucional,terapia hormonal,2026-09-04,D,N,S,RELATED TERM PARECE INCORRECTO | VIDA INSTITUCIONAL
23.0,fc5844c6-3f08-4176-85b6-5f79bd9cb4b2,Corte radical. Haaland arranca nova época com mudança... de visual,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-23,N,N,N,
24.0,c035da4b-52aa-41be-b2fd-bf76859addd8,Compasso pascal. Mantém-se a tradição da visita do pároco às casas,RTP,media,dependências,2026-04-05,N,N,N,
25.0,0d8a93e2-fdd9-4429-a396-b48c6b9be7b7,"Lula oficializa candidatura à presidência do Brasil: ""Mudar muita coisa""",Notícias ao Minuto,media,candidíase,2026-08-02,N,N,N,
26.0,7ea61d77-88fd-49ba-bdf0-35bef7ca49b2,Ópera portuguesa leva mito de Pigmalião a um futuro pós-apocalíptico,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-31,N,N,N,
27.0,cf1dc59b-3853-47dd-b489-64e007964304,Bipolaridade. Entre o estigma e o silêncio,Observador,media,perturbação bipolar,2026-03-27,S,S,S,
28.0,58491797-3230-479e-9d05-b64603308443,Eurodeputado Raphael Glucksmann candidata-se às presidenciais francesas,Notícias ao Minuto,media,candidíase,2026-08-23,N,N,N,
29.0,c267e33c-8bb8-4547-a6f4-5debde79d451,"Morreu Vincent Pastore, ator da série ""Os Sopranos"". Tinha 80 anos",Notícias ao Minuto,media,síndrome do ovário poliquístico,2026-08-02,N,N,N,
30.0,03da0dae-6354-4fa7-a689-aab12294807b,Long covid: novos estudos revelam danos cerebrais persistentes,Observador,media,long covid,2025-01-25,S,S,S,
31.0,51bbbfc0-f95a-4147-8134-b223f254c9e4,Suores noturnos na menopausa: novas terapias disponíveis,Público,media,suores noturnos,2025-01-18,S,S,S,
32.0,79a80c20-441c-4133-b357-e9ea339097e8,"Jantar ""Mar à Mesa"" promove candidatura de arte xávega à UNESCO",Notícias ao Minuto,media,candidíase,2026-09-06,N,N,N,
33.0,2b4c1b4b-b282-4db1-ace1-35ca1644ca16,Académica goleia Chaves no duelo inaugural da época 2026/27,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-08,N,N,N,
34.0,c6c0eca5-5993-4f4a-9f03-a6cb8772b571,Ex-ministro acusado da morte de candidato à presidência extraditado,Notícias ao Minuto,media,candidíase,2026-08-29,N,N,N,
35.0,99d87eb4-f725-4814-8f51-b61abe074b4a,Covid longa custa às economias da OCDE até 115.000 milhões anuais,Notícias ao Minuto,media,long covid,2026-04-08,S,S,S,
36.0,ea72d02a-a156-4d0d-8ee0-2a2e2c05063c,Vício do jogo. Pessoas tratadas em fevereiro são mais do que metade do ano passado,RTP,media,dependências,2026-04-11,S,S,S,
37.0,b663d961-804e-4135-8a5a-1497b2d945d3,Menopausa: novo tratamento hormonal aprovado pela EMA,Público,media,menopausa,2025-11-15,S,S,S,
38.0,ec2f0186-654e-4221-a0ad-20807bd352e4,Bélgica rejeita apoio a recandidatura de Infantino à presidência da FIFA,RTP,media,candidíase,2026-09-07,N,N,N,
39.0,f0c19c4c-427c-486f-8ba9-6e0e4b8a3633,Flávio Bolsonaro é oficialmente candidato à Presidência do Brasil,Diário de Notícias,media,candidíase,2026-07-25,N,N,N,
40.0,8ce6e569-f7f4-4b5f-97fd-2ffcb1f0af72,Mãe que matou filhos durante depressão pós-parto considerada inocente,Notícias ao Minuto,media,depressão,2026-08-29,S,S,S,
41.0,ec065fc1-1d70-4691-8a39-d170b422e055,CPSA contribui para declaração europeia que exige maior ação face a ondas de calor,Conselho Português para a Saúde e Ambiente,institucional,calor extremo e saúde,2026-07-24,S,S,S,
42.0,17b4d7ae-901d-4b91-a939-9f7553fca5b0,"Líder da UEFA não vai concorrer à presidência da FIFA, mas pede demissão de Infantino",Público,media,candidíase,2026-08-24,N,N,N,
43.0,3e4a1a30-be4f-4543-b13f-bf9db7d29bec,Olivier Faure é candidato às primárias da esquerda para presidenciais francesas,Notícias ao Minuto,media,candidíase,2026-08-30,N,N,N,
44.0,79bcb839-ac55-40e3-8033-81cafd6a7033,"Companhia de Teatro de Almada estreia ""Medida por Medida"" de Shakespeare",Notícias ao Minuto,media,perturbações do espectro do autismo,2026-08-22,N,N,N,
45.0,98aa8b4b-7d14-4573-ac99-1665ef4a92e4,Quer reduzir o risco de AVC? Evite estas 5 coisas durante a tarde,Notícias ao Minuto,media,avc,2026-09-14,S,N,N,
46.0,632fe93a-7868-4a8d-8a93-cdc133ec67f0,Raphael Glucksmann é candidato às presidenciais francesas,Observador,media,candidíase,2026-08-23,N,N,N,
47.0,10bb88b1-1489-47c9-a951-80d8469cff0c,"Alimento barato ajuda a reduzir risco de Alzheimer, conclui estudo",Notícias ao Minuto,media,alzheimer,2026-08-07,S,S,S,
48.0,96ec7f7a-ee73-41e2-b10c-7742955c6427,Chega insiste na descida dos impostos e acusa Montenegro de hipocrisia,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-09-05,N,N,N,
49.0,e494adc8-a41c-4152-a8b8-0ef49f6c1ff9,AVC: os três F que podem salvar uma vida,Observador,media,avc,2026-03-31,S,S,S,
50.0,de65c42b-e8c2-4a4e-a656-2dfa0bd53fa0,"""Universidades Politécnicas"" contribuíram para aumento de candidatos",Notícias ao Minuto,media,candidíase,2026-08-22,N,N,N,
51.0,d2b6052b-1b6f-485e-b20b-ad051d7e54f6,Módulo 4,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-04-08,D,N,D,VIDA INSTITUCIONAL
52.0,87e802f0-4999-4c1b-a57d-56a512b24bd4,"A epidemia silenciosa das dores da coluna: um olhar de quem opera, mas prefere prevenir",Sociedade Portuguesa Patologia Coluna Vertebral,institucional,doenças cardiovasculares,2026-04-02,S,N,S,
53.0,f4f620e5-284f-4129-b3a6-067fda0f709e,Portugal continental com fraca qualidade do ar até quinta-feira diz a DGS,RTP,media,poluição e saúde,2026-04-06,S,S,S,
54.0,0000f09d-8ddf-4bb4-b88e-5f0258449005,5 Vinkkiä Jackpottien Valloittamiseen Rizk Casinolla,SP Enfermagem de Saúde Familiar,institucional,síndrome de intestino irritável,2026-03-19,D,D,D,JA DETECTASTE QUE É PARA SAIR
55.0,add37451-838f-4de2-92f4-43a644373bab,Má qualidade do ar subsiste nas zonas de maior tráfego,Observador,media,poluição e saúde,2026-09-07,S,S,S,
56.0,326f0d66-0a44-415e-962b-a77fe8b2e946,José Maria Neves anuncia recandidatura a Cabo Verde,Observador,media,candidíase,2026-09-14,N,N,N,
57.0,4c9b9530-0ac9-4adc-a1e4-e8b458a6c613,Ex-vice Kamala Harris admite nova candidatura à presidência,Notícias ao Minuto,media,candidíase,2026-04-10,N,N,N,
58.0,48539c9e-7595-469a-85df-128e3c04a391,Ansiedade afeta um terço da população em Portugal,PÚBLICO,media,ansiedade,2025-04-04,S,S,S,
59.0,189910be-42b7-4607-b50a-1a7334d6faa7,Burnout: a epidemia global do século XXI chegou aos portugueses,EXPRESSO,media,burnout,2024-07-30,S,S,S,
60.0,25516776-6581-448a-9b38-297e6636de41,"Kamala Harris, ex-vice dos EUA, admite nova candidatura à presidência",Público,media,candidíase,2026-04-10,N,N,N,
61.0,69020c32-1a17-4fe6-af58-fee6a73c0c4f,CNP’26: Call for Abstracts – Prazo de candidaturas prolongado até 1 de julho de 2026,SP Psiquiatria e Saúde Mental,institucional,candidíase,2026-06-19,S,S,D,VIDA INSTITUCIONAL
62.0,12451acc-b8eb-4619-8976-09bb9927503d,Dia Mundial da Obesidade: O impacto do excesso de peso na saúde da coluna,Sociedade Portuguesa Patologia Coluna Vertebral,institucional,diabetes tipo 2,2026-02-27,S,S,S,
63.0,f8137b74-7a66-4adb-bdf1-6f3b739558c8,Michelle Bolsonaro apresentada como candidata ao Senado brasileiro,Notícias ao Minuto,media,candidíase,2026-08-03,N,N,N,
64.0,0af2bd25-464f-4a78-9eea-a7e96bfb386a,Módulo 2,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-04-08,D,N,D,
65.0,1cc298fa-c054-4a58-8fe0-e6731d7718a1,Estudo detecta microplásticos em 90% das garrafas de água portuguesas,RTP,media,microplásticos,2025-07-22,S,S,S,
66.0,9b3029d1-f2e4-4cba-8f54-a12b575e4f44,Má qualidade do ar subsiste nas zonas de maior tráfego rodoviário,Diário de Notícias,media,poluição e saúde,2026-09-07,S,S,S,
67.0,9aaa3bcc-ecd7-48a2-9cd2-cfce4810b0f2,SPPSM lança 1.º Concurso de Expressão Artística,SP Psiquiatria e Saúde Mental,institucional,candidíase,2026-06-12,S,N,D,
68.0,7888438e-d146-43e1-bbd2-75a99a5ce9c7,Osteoporose afeta 500 mil portugueses e é subdiagnosticada,Diário de Notícias,media,osteoporose,2025-01-30,S,S,S,
69.0,c6249871-4fe9-41f4-957b-627b9953d7de,Os molhos picantes da madeirense Queima Beiças vão representar Portugal no Berlin Chili Fest,Público,media,refluxo gastroesofágico,2026-08-31,N,N,N,
70.0,e5faef78-de18-4025-8566-bc269aade1da,“Vamos ficar de olhos abertos”: Comissão Europeia promove campanha pelos direitos das vítimas de crime,APAV,institucional,síndrome do ovário poliquístico,2026-08-12,S,N,S,"RELATED TERM NAO RELACIONADO COM APAV  ||  [15/09, dito na sessão] Violência doméstica entra na saúde, é um S; mas síndrome do ovário poliquístico não me parece o rótulo indicado. Não li a notícia."
71.0,842cd1d8-3639-4085-8d4e-7fc017b96524,O vício do turismo tem cura: o caso de Dubrovnik,Público,media,dependências,2026-04-04,D,D,D,
72.0,ae109aba-e33b-4847-8549-78146d597147,Demência. O sinal que pode aparecer muito antes da perda de memória,Notícias ao Minuto,media,demência,2026-09-07,S,S,S,
73.0,849f228a-53b6-4b3b-b6c3-c027082091b7,A camisola não faz o líder,Observador,media,candidíase,2026-08-09,N,N,N,
74.0,72aa9179-09a6-4fc6-b5fa-b98394775697,DGS publica novas orientações sobre saúde mental,DGS,institucional,ansiedade,2025-02-01,S,S,S,
75.0,2cf7be07-3693-43b8-ac99-63004a2c0c52,6 alimentos 'maus' que pode (e deve) comer para reduzir o stress,Notícias ao Minuto,media,stress,2026-09-05,S,S,S,
76.0,f4849815-ee02-4347-98c8-5693f82d78c8,Poluição do ar em Lisboa ultrapassa limites da OMS,TSF,media,poluição e saúde,2025-03-12,S,S,S,
77.0,4c6b737b-d125-4ba7-8fb7-6ef675b9a639,Amasso total. Bilbao dá primeira derrota da época ao Atlético de Madrid,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-09-05,N,N,N,
78.0,f8fc15f0-92b2-40b9-8641-b6eb2cf4c57b,SPPCV lança Bolsa de Investigação 2026 com prémio de cinco mil euros,Sociedade Portuguesa Patologia Coluna Vertebral,institucional,candidíase,2026-01-21,S,N,S,"RELATED TERM AO LADO  ||  [15/09, dito na sessão] Entra na vida institucional, mas candidíase é outra vez o rótulo errado."
79.0,69959f00-6714-4cad-b7ef-28f89548e2e5,Mulher de Jair Bolsonaro candidata ao Senado brasileiro,Observador,media,candidíase,2026-08-03,N,N,N,
80.0,441d481b-6373-4093-bcdc-8fa70854d6fd,Colesterol alto? Estatinas: perigosas ou essenciais?,Observador,media,colesterol alto,2026-03-30,S,S,S,
81.0,9be355b1-bf73-43d1-bc4f-d4a264759b95,"Gravidez. ""Descobri mutação genética. Fazia com que o sangue coagulasse""",Notícias ao Minuto,media,refluxo gastroesofágico,2026-09-14,S,S,S,
82.0,84a95909-62bf-459c-9e2e-503a473a2d10,Mau tempo. Há 34 mil candidaturas para apoios para reconstrução de casas,Notícias ao Minuto,media,candidíase,2026-04-08,N,N,N,
83.0,97a5ec29-a8e3-4100-b40d-3279598eefc7,"Sépsis. ""Diagnóstico pode ser desafiante. Não existe um único sintoma""",Notícias ao Minuto,media,sepsis,2026-09-14,S,S,S,
84.0,601dc35c-e34e-4f85-ae79-fddd87cd4dbc,PRR já desembolsou 14.721 milhões de euros e candidaturas aprovadas dispararam para 406.684,Diário de Notícias,media,candidíase,2026-09-09,N,N,N,
85.0,b0b5127e-eb5a-4e90-a7c9-7fe1087bdb07,Abertura de concurso a financiamento público para projetos na área da alimentação escolar,Nutrimento (PNPAS),institucional,candidíase,2025-09-15,S,N,S,
86.0,f67792b7-9c62-4b36-a412-211b925e51cf,Estudo revela aumento de 40% nos casos de ansiedade em jovens portugueses,Público,media,ansiedade,2025-01-15,S,S,S,
87.0,8a8ece24-fadf-40ce-acb6-d90c94e0511c,"AR ouve na sexta-feira Tiago Antunes, candidato a Provedor de Justiça",Notícias ao Minuto,media,candidíase,2026-04-08,N,N,N,
88.0,ecee223f-2474-476d-a63c-ffbc840d88a9,Resumo do 1.º dia,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-09-10,D,N,D,
89.0,2d37c349-c84a-470e-a832-4f608e1a8233,Vacina do sarampo causa autismo? É falso,Observador Fact Check,factcheck,sarampo surto,2025-02-22,S,S,S,
90.0,e8852f45-67b4-45b4-8a0e-118703728096,"""Todos sabem que vai ser uma época difícil. Ainda não ganhámos nada""",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-14,N,N,N,
91.0,d32e1479-43ed-47b7-a4c9-85d2d956d470,Iniciativa para combater a solidão de mulheres imigrantes promove piquenique,Diário de Notícias,media,solidão,2026-09-07,S,S,S,
92.0,674a6261-fb57-4167-9e20-408b916ab968,"Liga Europa arranca com Benfica, AC Milan e Juventus entre os candidatos",Notícias ao Minuto,media,candidíase,2026-09-13,N,N,N,
93.0,4d7524eb-4b93-4552-a59d-d5a8b65c4595,Webinar &#8211; Zona Sul,SP Acidente Vascular Cerebral,institucional,avc,2025-09-24,D,S,D,
94.0,6b8a9a00-d640-4ea7-b1fe-eeaeddac2389,"Chegar, ver e marcar. Eis o primeiro golo de Cristiano Ronaldo esta época",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-21,N,N,N,
95.0,25ed1cd9-6247-430c-b1f1-4576ee41e4a3,Aumentam os casos de Mpox: Portugal com 40 novas infeções,RTP,media,mpox portugal,2025-03-03,S,S,S,
96.0,a6bf5272-1dbe-49e8-b291-803e0b0686de,Burnout atinge níveis recorde entre profissionais de saúde,RTP,media,burnout,2025-02-20,S,S,S,
97.0,cb25f821-44ee-4189-81df-178b4ba5fb7d,"Harrison Ford revela a sua luta contra a depressão: ""Estava doente""",Notícias ao Minuto,media,depressão,2026-04-10,S,S,S,
98.0,098af0b1-42cb-4900-85b5-64513e7590ac,Fase de Apresentação de Candidaturas do SAD 2026/176 – Cadeiras de rodas e outros equipamentos,SPMS,institucional,candidíase,2026-03-26,D,N,S,
99.0,0552b2b4-9223-4759-9db1-243bcf39fb93,Mpox transmite-se pelo ar? Verificação de factos,Polígrafo,factcheck,mpox portugal,2025-03-04,S,S,S,
100.0,78c3020c-4699-4283-9166-83bed72621f3,Prisão preventiva para ex-candidato do Chega suspeito de pedofilia,RTP,media,candidíase,2026-03-24,N,N,N,
