Category: Health

Week,menopausa: (Portugal),ansiedade: (Portugal),depressão: (Portugal),alimentação: (Portugal),obesidade: (Portugal)
2024-02-04,12,29,28,10,3
2024-02-11,15,30,13,14,4
2024-02-18,13,31,11,13,6
2024-02-25,13,30,11,14,6
2024-03-03,14,30,12,15,10
2024-03-10,13,30,11,14,5
2024-03-17,15,28,13,14,4
2024-03-24,15,26,23,10,4
2024-03-31,14,29,12,10,3
2024-04-07,14,29,11,12,5
2024-04-14,16,32,13,14,4
2024-04-21,13,30,9,14,5
2024-04-28,15,29,10,14,3
2024-05-05,17,28,8,13,4
2024-05-12,17,32,14,14,8
2024-05-19,17,31,9,12,6
2024-05-26,19,32,12,12,5
2024-06-02,15,31,10,12,5
2024-06-09,13,32,10,9,4
2024-06-16,14,31,11,10,4
2024-06-23,15,31,11,10,4
2024-06-30,16,35,10,11,4
2024-07-07,18,38,13,11,3
2024-07-14,17,34,9,10,5
2024-07-21,17,38,10,8,3
2024-07-28,16,32,9,9,2
2024-08-04,18,31,7,9,2
2024-08-11,18,30,10,7,2
2024-08-18,18,30,6,8,3
2024-08-25,14,32,8,8,4
2024-09-01,16,30,11,8,3
2024-09-08,15,33,10,9,3
2024-09-15,15,32,9,13,4
2024-09-22,18,35,11,15,6
2024-09-29,17,31,11,14,3
2024-10-06,25,35,11,21,6
2024-10-13,29,35,12,38,4
2024-10-20,23,35,10,14,6
2024-10-27,19,32,10,13,5
2024-11-03,18,34,9,14,4
2024-11-10,18,32,10,12,5
2024-11-17,18,35,19,11,4
2024-11-24,16,29,11,15,3
2024-12-01,13,29,9,11,5
2024-12-08,13,27,7,16,4
2024-12-15,13,24,8,12,3
2024-12-22,11,19,7,7,3
2024-12-29,14,26,10,10,2
2025-01-05,16,30,10,12,5
2025-01-12,24,30,8,14,5
2025-01-19,21,33,26,14,6
2025-01-26,33,26,17,12,4
2025-02-02,28,26,10,13,3
2025-02-09,29,26,10,13,5
2025-02-16,25,29,10,13,5
2025-02-23,28,27,11,11,4
2025-03-02,31,28,11,10,7
2025-03-09,23,30,15,12,6
2025-03-16,22,25,46,11,5
2025-03-23,24,27,14,12,5
2025-03-30,18,25,22,11,9
2025-04-06,18,27,12,9,4
2025-04-13,18,24,11,9,4
2025-04-20,17,24,10,9,6
2025-04-27,15,28,9,11,5
2025-05-04,18,28,12,10,3
2025-05-11,16,27,9,10,4
2025-05-18,17,27,7,11,6
2025-05-25,16,28,7,13,6
2025-06-01,16,24,9,12,5
2025-06-08,15,25,10,9,5
2025-06-15,16,24,9,10,5
2025-06-22,15,22,10,9,4
2025-06-29,15,22,6,8,3
2025-07-06,20,20,8,8,5
2025-07-13,18,20,11,9,5
2025-07-20,15,21,7,8,5
2025-07-27,16,22,6,8,4
2025-08-03,17,20,8,7,3
2025-08-10,20,23,7,7,4
2025-08-17,17,23,7,7,4
2025-08-24,16,21,9,9,4
2025-08-31,17,24,11,8,2
2025-09-07,17,27,7,8,3
2025-09-14,17,26,10,12,4
2025-09-21,16,23,11,12,4
2025-09-28,19,24,9,17,5
2025-10-05,20,25,11,19,6
2025-10-12,20,25,10,32,6
2025-10-19,21,25,20,14,4
2025-10-26,18,25,9,12,4
2025-11-02,14,26,13,14,5
2025-11-09,14,26,48,12,5
2025-11-16,14,23,16,12,6
2025-11-23,12,24,10,11,6
2025-11-30,16,26,18,9,7
2025-12-07,14,24,19,9,5
2025-12-14,13,23,11,7,4
2025-12-21,10,18,8,6,3
2025-12-28,9,21,13,7,3
2026-01-04,15,21,19,10,6
2026-01-11,18,30,10,11,7
2026-01-18,18,24,31,9,4
2026-01-25,20,22,97,9,6
2026-02-01,19,21,100,9,10
2026-02-08,15,22,60,9,5
2026-02-15,21,24,16,9,3
2026-02-22,23,24,14,11,5
2026-03-01,20,24,15,12,9
2026-03-08,19,26,10,10,6
2026-03-15,19,24,34,11,6
2026-03-22,18,26,10,10,4
2026-03-29,17,20,10,7,4
2026-04-05,17,23,10,8,2
2026-04-12,18,23,17,12,5
2026-04-19,20,25,12,11,7
2026-04-26,21,24,11,16,3
2026-05-03,19,21,11,13,5
2026-05-10,18,26,9,10,6
2026-05-17,19,25,8,12,8
2026-05-24,16,22,7,9,9
2026-05-31,16,20,7,8,4
2026-06-07,15,21,8,10,4
2026-06-14,18,23,8,9,4
2026-06-21,14,18,7,7,5
2026-06-28,15,19,6,8,4
2026-07-05,17,20,5,6,5
2026-07-12,19,25,9,8,4
2026-07-19,19,23,9,10,5
2026-07-26,18,20,9,10,5
2026-08-02,19,22,8,9,4
2026-08-09,20,23,20,7,3
2026-08-16,21,21,9,8,3
2026-08-23,19,22,7,7,4
2026-08-30,18,26,8,7,4
2026-09-06,20,25,7,9,4
2026-09-13,19,22,7,9,4
